,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,148,001-0076,ENGINE,Spring washer (29),FALSE,TRUE,FALSE,2 PCS,RT - C11,,,,,,,,,,
,149,001-0077,ENGINE,Washer (26),FALSE,TRUE,FALSE,2 PCS,RT - C11,,,,,,,,,,
,150,005-0004,EXTERIOR,Engine hood release cable,FALSE,TRUE,FALSE,1 PCS,RT - C13,,,Keranjang 3,,,,,,,
,151,,,Shaft (115),FALSE,TRUE,FALSE,1 PCS,RT - C20,,,,,,,,,,
,152,,,Accelerator pedal,FALSE,TRUE,FALSE,1 PCS,RT - C20,,,,,,,,,,
,153,005-0005,EXTERIOR,Pin (178),FALSE,TRUE,FALSE,1 PCS,RT - C13,,,,,,,,,,
,154,005-0006,EXTERIOR,Safety hook (194),FALSE,TRUE,FALSE,1 PCS,RT - C13,,,,,,,,,,
,155,005-0007,EXTERIOR,Handle (176),FALSE,TRUE,FALSE,1 PCS,RT - C13,,,,,,,,,,
,156,001-0078,ENGINE,Pin (104),FALSE,TRUE,FALSE, 8 PCS,RT - C11,,,Keranjang 3,,,,,,,
,157,001-0079,ENGINE,clamp pipe line mounting (212),FALSE,TRUE,FALSE,4 PCS,RT - C10,,"15/04/2026
MAULANA",Keranjang 3,,,,,,,
,158,001-0080,ENGINE,Damping strip line mounting ,FALSE,TRUE,FALSE,1 PCS,RT - C10,,"15/04/2026
MAULANA",Keranjang 3,,,,,,,
,159,001-0080,ENGINE,Hose 20 mm pipe line mounting  ,FALSE,TRUE,FALSE,9 PCS,RT - C10,,"15/04/2026
MAULANA",Keranjang 3,,,,,,,
,160,001-0081,ENGINE,Screw (56),FALSE,TRUE,FALSE,8 PCS,RT - C4,,,Keranjang 1,,,,,,,
,161,001-0082,ENGINE,Clamp fuel and brake lines to frame floor unit,FALSE,TRUE,FALSE,4 PCS,RT - C10,,"15/04/2026
MAULANA",Keranjang 3,,,,,,,
,162,001-0083,ENGINE,Gasket (12),FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,163,001-0084,ENGINE,Locking cap   ,TRUE,FALSE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,164,001-0085,ENGINE,Ring gear (47),FALSE,FALSE,TRUE,1 PCS,RT - C37,,,,,,,,,,
,165,001-0086,ENGINE,Follower (56),FALSE,FALSE,TRUE,1 PCS,RT - C37,,,,,,,,,,
,166,001-0087,ENGINE,Hub (37),FALSE,TRUE,FALSE,1 PCS,RT - C37,,,,,,,,,,
,167,001-0088,ENGINE,Disc spring (20),FALSE,TRUE,FALSE,4 PCS,RT - C37,,,,,,,,,,
,168,001-0089,ENGINE,Alternator,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,169,001-0090,ENGINE,Bracket starting cable ,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,170,001-0091,ENGINE,Nut (44),FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,171,001-0092,ENGINE,Cover timing case cover,FALSE,TRUE,FALSE,1 PCS,RT - C25,,,,,,,,,,
,172,001-0093,ENGINE,Starting motor,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,173,001-0094,ENGINE,Exhaust manifold  ,FALSE,TRUE,FALSE,1 PCS,RT - C28,,,,,,,,,,
,174,001-0095,ENGINE,Air cleaner,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,175,001-0096,ENGINE,Pulley (29),FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,176,001-0097,ENGINE,Vibration absorber (260,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,177,002-0026,UNDERCARIAGE,Rear spring,FALSE,TRUE,FALSE,2 PCS,RT - C30,,,,,,,,,,
,178,001-0098,ENGINE,camshaft right (8),FALSE,TRUE,FALSE,1 PCS,RT - C29,,,,,,,,,,
,179,001-0099,ENGINE,camshaft left,FALSE,TRUE,FALSE,1 PCS,RT - C29,,,,,,,,,,
,180,001-0100,ENGINE,repair kit camshaft bearings,FALSE,TRUE,FALSE,1 PCS,RT - C29,,,,,,,,,,
,181,002-0027,UNDERCARIAGE,propeler shaft ,FALSE,TRUE,FALSE,1 PCS,RT - C30,,,,,,,,,,
,182,002-0028,UNDERCARIAGE,propeler shaft rear,FALSE,TRUE,FALSE,1 PCS,RT - C30,,,,,,,,,,
,183,001-0101,ENGINE,Intake assy,FALSE,TRUE,FALSE,1 PCS,RT - C34,,,,,,,,,,
,184,001-0102,ENGINE,bracket (161),FALSE,FALSE,TRUE,2 PCS,RT - C34,,,,,,,,,,
,185,001-0103,ENGINE,filler cap (11),FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,186,001-0104,ENGINE,cylinder head cover right ,FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,187,001-0105,ENGINE,cylinder head cover left ,FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,188,001-0106,ENGINE,fitting (17),FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,189,001-0107,ENGINE,bracket (41),FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,190,001-0108,ENGINE,dashpot (128),FALSE,TRUE,FALSE,1 PCS,RT - C5,,,,,,,,,,
,191,001-0109,ENGINE,bracket (149),FALSE,TRUE,FALSE,1 PCS,RT - C5,,,,,,,,,,
,192,001-0110,ENGINE,double fitting (131),FALSE,TRUE,FALSE,1 PCS,RT - C5,,,,,,,,,,
